IssuerSize,NoBonds,OAS,Warf,DWexEurope,Europe,EuropePeriphery,Automotive,BasicIndustry,CapitalGoods,ConsumerGoods,Healthcare,Leisure,Media,Retail,Services,TechnologyElectronics,Telecommunication,Transportation
1259.3,3,544.984652810758,2720,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4700.0,3,564.855411527311,2220,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
700.0,2,544.09871865556,2220,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1100.0,3,581.523850978755,1766,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
850.0,1,532.084744974392,2720,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
750.0,1,860.525262333861,1766,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
1475.0,3,620.606162604798,1766,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
949.9,1,587.027792639853,1766,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2435.5,2,580.511016648965,1766,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
918.0,2,687.927778788901,2220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1530.0,2,666.567403106542,3490,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3205.0,2,599.804975928145,1766,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1835.3,2,708.982455911089,2220,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3698.6,9,723.93477688659,2220,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1760.0,3,516.110870431423,2220,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
794.5,2,1087.54701381274,2220,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1000.0,2,620.722505278271,2220,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2415.5,5,755.377218073345,2220,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
760.0,1,778.522203947324,2220,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3182.3,5,518.306239239029,1350,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
810.0,2,659.521539549326,2720,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
750.0,2,906.461804880726,2720,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
582.1,1,879.805109127458,2720,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1435.0,3,705.493758464614,2220,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3099.6,6,660.741927996192,2720,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
575.0,1,770.520345188956,3490,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1385.0,3,853.125580650458,2220,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
